Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0100054,6,20/01/2018,Lord of the Flies,https://www.imdb.com/title/tt0100054/,movie,6.4,90,1990,"Adventure, Drama, Thriller",30234,16/03/1990,Harry Hook
tt0102926,6,22/08/2017,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,movie,8.6,118,1991,"Crime, Drama, Thriller",1346434,30/01/1991,Jonathan Demme
tt10327252,5,20/07/2021,The Forever Purge,https://www.imdb.com/title/tt10327252/,movie,5.4,103,2021,"Action, Horror, Thriller",23759,30/06/2021,Everardo Gout
tt1051906,7,25/03/2020,The Invisible Man,https://www.imdb.com/title/tt1051906/,movie,7.1,124,2020,"Drama, Horror, Mystery, Sci-Fi, Thriller",199702,24/02/2020,Leigh Whannell
tt1054485,7,17/07/2021,Futurama: The Beast with a Billion Backs,https://www.imdb.com/title/tt1054485/,video,7.2,90,2008,"Animation, Comedy, Romance, Sci-Fi",23796,24/06/2008,Peter Avanzino
tt1054486,7,17/07/2021,Futurama: Bender's Game,https://www.imdb.com/title/tt1054486/,video,7.3,88,2008,"Animation, Action, Adventure, Comedy, Fantasy, Sci-Fi",20564,3/11/2008,Dwayne Carey-Hill
tt1054487,7,17/07/2021,Futurama: Into the Wild Green Yonder,https://www.imdb.com/title/tt1054487/,video,7.3,89,2009,"Animation, Comedy, Sci-Fi",18215,23/02/2009,Peter Avanzino
tt0106004,9,22/08/2017,Frasier,https://www.imdb.com/title/tt0106004/,tvSeries,8.1,22,1993,Comedy,79113,16/09/1993,
tt1060277,7,22/08/2017,Cloverfield,https://www.imdb.com/title/tt1060277/,movie,7,85,2008,"Action, Horror, Sci-Fi, Thriller",385723,16/01/2008,Matt Reeves
tt0116282,7,22/08/2017,Fargo,https://www.imdb.com/title/tt0116282/,movie,8.1,98,1996,"Crime, Thriller",648629,8/03/1996,"Ethan Coen, Joel Coen"
tt1170358,8,22/08/2017,The Hobbit: The Desolation of Smaug,https://www.imdb.com/title/tt1170358/,movie,7.8,161,2013,"Adventure, Fantasy",627099,2/12/2013,Peter Jackson
tt1179933,8,22/08/2017,10 Cloverfield Lane,https://www.imdb.com/title/tt1179933/,movie,7.2,103,2016,"Action, Drama, Horror, Sci-Fi, Thriller",308630,8/03/2016,Dan Trachtenberg
tt1182345,9,22/08/2017,Moon,https://www.imdb.com/title/tt1182345/,movie,7.8,97,2009,"Drama, Mystery, Sci-Fi",347763,23/01/2009,Duncan Jones
tt0118298,10,22/08/2017,Daria,https://www.imdb.com/title/tt0118298/,tvSeries,8.1,30,1997,"Animation, Comedy, Drama, Romance",24342,3/03/1997,
